A,Ay-beria
a,ay-beria
Aacute,Ay_acute-beria
aacute,ay_acute-beria
Acircumflex,Ay_macron-beria
acircumflex,ay_macron-beria
acute,acute-beria
Agrave,Ay_grave-beria
agrave,ay_grave-beria
B,Bay-beria
b,bay-beria
C,Shep-beria
c,shep-beria
D,Day-beria
d,day-beria
dotaccent,dot-beria
E,Ey-beria
e,ey-beria
Eacute,Ey_acute-beria
eacute,ey_acute-beria
Ecircumflex,Ey_macron-beria
ecircumflex,ey_macron-beria
Edotaccent,Ey_dot-beria
edotaccent,ey_dot-beria
Egrave,Ey_grave-beria
egrave,ey_grave-beria
F,Effi-beria
f,effi-beria
G,Gay-beria
g,gay-beria
grave,grave-beria
H,Hay-beria
h,hay-beria
I,Iyi-beria
i,iyi-beria
Iacute,Iyi_acute-beria
iacute,iyi_acute-beria
Icircumflex,Iyi_macron-beria
icircumflex,iyi_macron-beria
Idotaccent,Iyi_dot-beria
Igrave,Iyi_grave-beria
igrave,iyi_grave-beria
J,Djay-beria
j,djay-beria
K,Key-beria
k,key-beria
L,Elli-beria
l,elli-beria
m,emimi-beria
M,Emmi-beria
macron,macron-beria
N,Enni-beria
n,enni-beria
O,Oi-beria
o,oi-beria
Oacute,Oi_acute-beria
oacute,oi_acute-beria
Ocircumflex,Oi_macron-beria
ocircumflex,oi_macron-beria
Ograve,Oi_grave-beria
ograve,oi_grave-beria
P,Pi-beria
p,pi-beria
R,Erri-beria
r,erri-beria
S,Chei-beria
s,chei-beria
T,Tai-beria
t,tai-beria
U,Uy-beria
u,uy-beria
Uacute,Uy_acute-beria
uacute,uy_acute-beria
Ucircumflex,Uy_macron-beria
ucircumflex,uy_macron-beria
Ugrave,Uy_grave-beria
ugrave,uy_grave-beria
W,Way-beria
w,way-beria
X,Nay-beria
x,nay-beria
Y,Yay-beria
y,yay-beria
Z,Gna-beria
z,gna-beria
